
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 348548 2538416 253348 1649264    0    1    18    91   39    1  9  1 89  1  0	
 2  0 348548 2527616 253360 1650260    0    0   342   908 1505 4729 19  7 41 32  0	
 3  1 348548 2525196 253360 1650612    0    0     0  1186 1923 5153 59  8  2 30  0	
 3  1 348548 2524840 253376 1650968    0    0     0  1666 1948 4987 61  9  0 30  0	
 1  1 348548 2524320 253376 1651352    0    0     0  1150 1925 4994 62  9  0 29  0	
 2  1 348548 2523824 253376 1651712    0    0     0  1162 2110 5335 59  9  2 30  0	
 1  1 348548 2522956 253392 1652096    0    0     0  1184 2031 5197 61  9  0 30  0	
 2  1 348548 2522452 253392 1652456    0    0     0  1482 1923 5023 62  8  0 30  0	
 1  1 348548 2522080 253392 1652812    0    0     0  1150 1899 4981 61  9  0 31  0	
 1  1 348548 2521576 253408 1653164    0    0     0  1136 1930 4859 61  9  0 30  0	
 3  0 348548 2521328 253408 1653512    0    0     0  1266 1962 4957 61  7  1 32  0	
 3  0 348524 2518792 253420 1653880    0    0     0  1532 1948 5015 62  9  0 29  0	
 3  0 348512 2518544 253420 1654220    0    0     0  1338 1907 4933 61  8  0 30  0	
 1  1 348492 2518312 253420 1654528   16    0    16  1254 1846 4811 61  8  0 31  0	
 1  1 348492 2517816 253436 1654892    0    0     0  1576 1886 4707 61  8  0 31  0	
 1  1 348492 2517660 253436 1655236    0    0     0  1282 1983 5010 60  8  1 32  0	
 3  0 348492 2517100 253456 1655616    0    0     2  2184 1957 4944 61  9  0 30  0	
 2  1 348492 2514812 253456 1655980    0    0     0  1324 1874 4955 61  8  0 31  0	
 1  1 348492 2514480 253456 1656324    0    0     0  1334 1892 4889 61  7  0 31  0	
 3  1 348492 2513976 253464 1656672    0    0     0  1542 1882 4620 60  9  0 31  0	
 1  1 348492 2513636 253472 1657004    0    0     0  1292 1873 4896 61  8  0 31  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1 348492 2513140 253480 1657352    0    0     0  1818 1918 4849 62  8  0 30  0	
 1  1 348492 2515032 253480 1657688    0    0     0  1620 1864 4749 60  9  0 31  0	
 2  1 348492 2514800 253480 1658056    0    0     0  1834 1896 4994 62  8  0 30  0	
 1  1 348492 2514444 253496 1658428    0    0     0  1308 1899 5054 61  9  0 30  0	
 1  1 348492 2514072 253496 1658780    0    0     0  1238 1830 4623 60  9  0 31  0	
 3  0 348492 2513568 253512 1659136    0    0     0  1258 1873 4655 60  9  0 31  0	
 1  1 348492 2513328 253512 1659480    0    0     0  1634 1893 5086 62  8  0 31  0	
 4  1 348492 2512964 253516 1659852    0    0     2  1828 1904 4986 61  8  0 30  0	
 2  1 348492 2512584 253532 1660220    0    0     0  1328 1912 4902 62  9  0 30  0	
 1  1 348492 2512336 253532 1660564    0    0     0  1252 1868 4754 60  9  0 31  0	
 2  1 348492 2512040 253540 1660912    0    0     0  1786 1994 4701 61  8  1 31  0	
 1  1 348492 2511668 253540 1661236    0    0     0  1552 1837 4651 60  8  0 32  0	
 1  1 348492 2511436 253540 1661584    0    0     0  1428 1946 5066 61  9  1 30  0	
 1  1 348492 2512048 253556 1661960    0    0     0  1330 1921 4905 60  9  0 30  0	
 1  1 348492 2511676 253556 1662312    0    0     0  1338 1903 5125 62  8  0 30  0	
 1  1 348492 2511056 253572 1662668    0    0     0  1826 1975 4963 61  9  1 30  0	
 3  0 348464 2509688 253572 1662036   32    0    32  1522 1947 4733 60  8  1 31  0	
 1  1 348456 2509572 253572 1662400    0    0     0  1644 1881 5107 62  8  0 31  0	
 2  1 348440 2509060 253580 1662756   16    0    16  1492 1957 4951 62  8  0 30  0	
 1  1 348440 2508596 253580 1663100    0    0     0  1094 1864 4822 61  8  0 31  0	
 1  1 348440 2509092 253588 1662496    0    0     0  1192 1935 5150 63  8  0 29  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 348440 2508876 253596 1662848    0    0     0  1420 1866 4723 61  7  0 32  0	
 1  1 348436 2508512 253596 1663208    0    0     0  1588 1858 4797 61  8  0 31  0	
 1  1 348436 2508760 253596 1662552    0    0     0  1036 1824 4438 60  9  0 31  0	
 1  1 348436 2508760 253604 1662904    0    0     0  1468 1893 4825 61  8  0 31  0	
 4  0 348436 2508172 253612 1663268    0    0     0  1604 1885 4938 61  9  0 30  0	
 1  1 348436 2507800 253612 1663604    0    0     0  1070 1852 4764 60  8  0 31  0	
 1  1 348436 2508444 253620 1662972    0    0     0  1350 1914 4995 62  8  0 30  0	
 3  0 348436 2508172 253620 1663348    0    0     0  1680 1978 5136 61 10  0 29  0	
 2  1 348436 2507800 253620 1663724    0    0     0  1394 1959 5214 62  9  0 29  0	
 4  1 348436 2508296 253636 1663232    0    0     0  1870 1906 4961 61  9  0 30  0	
 1  1 348436 2508312 253636 1663444    0    0     0  1576 1841 4536 60  8  0 32  0	
 3  1 348436 2508204 253636 1663772    0    0     0  1708 1825 4537 59  9  0 32  0	
 3  1 348436 2507288 253644 1664112    0    0     0  1272 1916 4888 60  9  0 31  0	
 1  1 348436 2507784 253644 1663472    0    0     0  1282 1849 4818 61  8  0 31  0	
 3  0 348436 2507512 253660 1663824    0    0     0  2076 1903 4812 60  8  0 31  0	
 2  1 348436 2507388 253660 1664184    0    0     0  1342 1891 5091 61  8  0 30  0	
 1  1 348436 2506932 253660 1664536    0    0     0  1356 1910 4996 62  8  0 30  0	
 1  1 348436 2507432 253668 1663912    0    0     0  1600 2015 4922 60  8  1 31  0	
 2  1 348436 2507060 253668 1664256    0    0     0  1300 1894 4957 61  8  0 30  0	
 1  1 348436 2506572 253684 1664592    0    0     0  2034 1832 4563 60  8  0 32  0	
 1  1 348428 2504184 253684 1664952    0    0     0  1274 1865 4892 61  8  0 31  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 348408 2504704 253684 1664312   16    0    16  1882 1886 4808 61  8  0 31  0	
 1  1 348396 2504556 253692 1664660    0    0     0  1302 1917 4752 61  8  0 30  0	
 1  1 348384 2504184 253692 1665012   16    0    16  1366 1903 4960 63  7  0 30  0	
 1  1 348384 2504464 253708 1664336    0    0     0  1612 1892 4675 61  8  0 31  0	
 1  1 348384 2504464 253708 1664732    0    0     0  1298 1907 4890 62  8  0 31  0	
 1  1 348384 2504380 253708 1665076    0    0     0  1760 1847 4825 61  8  0 31  0	
 1  1 348384 2503780 253716 1665412    0    0     0  1220 2162 4919 59  8  1 33  0	
