
Linux 2.6.32-431.3.1.el6.x86_64 (localhost.localdomain) 	05/02/14 	_x86_64_	(2 CPU)

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.10     2.68    0.29    3.83    14.17    82.00    23.35     0.01    3.57   3.03   1.25
sdb               0.10     2.66    0.30    3.75    14.10    77.36    22.57     0.01    3.44   2.95   1.19
sdc               0.10     2.65    0.30    3.73    14.11    75.02    22.13     0.01    3.41   2.93   1.18
sdd               0.10     2.63    0.31    3.74    13.99    74.06    21.76     0.01    3.41   2.93   1.19
dm-0              0.00     0.00    1.59   20.59    56.36   308.44    16.44     0.08    3.82   1.57   3.48
dm-1              0.00     0.00    1.55   20.31    55.89   306.06    16.56     0.08    3.78   1.62   3.53
dm-2              0.00     0.00    0.01    0.00     0.20     0.09    22.49     0.00    2.88   0.34   0.00
dm-3              0.00     0.00    0.03    0.29     0.27     2.29     8.00     0.00    8.89   0.24   0.01
dm-4              0.00     0.00    0.66    0.44    19.99     3.55    21.36     0.01    6.06   2.94   0.32
dm-5              0.00     0.00    0.75   14.33    27.47   270.16    19.74     0.05    3.31   2.04   3.07
dm-6              0.00     0.00    0.14    4.04     8.42    32.36     9.75     0.03    6.40   0.62   0.26

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               2.33    27.33    0.33   77.00    21.33   453.33     6.14     0.21    2.67   2.62  20.23
sdb               0.00    28.67    0.00   76.00     0.00   448.00     5.89     0.17    2.30   2.30  17.50
sdc               0.00    32.33    0.00  106.33     0.00   717.33     6.75     0.38    3.55   3.36  35.77
sdd               0.00    31.67    0.00  103.67     0.00   693.33     6.69     0.39    3.81   3.70  38.40
dm-0              0.00     0.00    2.67  336.33    21.33  2301.33     6.85     1.04    3.06   2.56  86.67
dm-1              0.00     0.00    0.00  336.33     0.00  2301.33     6.84     1.02    3.02   2.58  86.77
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    2.67    0.00    21.33     0.00     8.00     0.02    8.00   1.00   0.27
dm-4              0.00     0.00    0.00    0.33     0.00     2.67     8.00     0.00    3.00   3.00   0.10
dm-5              0.00     0.00    0.00  281.00     0.00  2240.00     7.97     0.99    3.54   3.08  86.60
dm-6              0.00     0.00    0.00    7.33     0.00    58.67     8.00     0.02    3.09   2.00   1.47

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    38.67    0.00  117.00     0.00   968.00     8.27     0.43    3.65   3.55  41.57
sdb               0.00    40.00    0.00  104.00     0.00   810.67     7.79     0.43    4.16   3.90  40.57
sdc               0.00    37.00    0.00   82.33     0.00   605.33     7.35     0.22    2.64   2.55  21.00
sdd               0.00    36.00    0.00   88.67     0.00   637.33     7.19     0.27    3.09   2.99  26.50
dm-0              0.00     0.00    0.00  385.33     0.00  3021.33     7.84     1.16    3.01   2.54  97.77
dm-1              0.00     0.00    0.00  385.33     0.00  3021.33     7.84     1.17    3.02   2.54  97.87
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00   24.67     0.00   197.33     8.00     0.04    1.80   0.38   0.93
dm-5              0.00     0.00    0.00  310.33     0.00  2821.33     9.09     1.12    3.60   3.16  98.00
dm-6              0.00     0.00    0.00    0.33     0.00     2.67     8.00     0.00    6.00   6.00   0.20

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    30.67    0.00   77.00     0.00   466.67     6.06     0.23    3.01   2.97  22.90
sdb               0.00    30.33    0.00   85.67     0.00   533.33     6.23     0.28    3.31   3.15  26.97
sdc               0.00    32.67    0.00  109.33     0.00   741.33     6.78     0.40    3.65   3.55  38.80
sdd               0.00    27.00    0.00   96.00     0.00   589.33     6.14     0.33    3.41   3.39  32.53
dm-0              0.00     0.00    0.00  340.67     0.00  2330.67     6.84     1.04    3.05   2.86  97.27
dm-1              0.00     0.00    0.00  340.67     0.00  2330.67     6.84     1.04    3.05   2.86  97.30
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  288.67     0.00  2301.33     7.97     1.03    3.58   3.37  97.33
dm-6              0.00     0.00    0.00    3.33     0.00    26.67     8.00     0.01    2.30   2.30   0.77

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    33.67    0.00  112.33     0.00   741.33     6.60     0.41    3.64   3.60  40.43
sdb               0.00    35.67    0.00  101.00     0.00   669.33     6.63     0.33    3.30   3.16  31.90
sdc               0.00    31.00    0.00   84.00     0.00   496.00     5.90     0.23    2.73   2.72  22.87
sdd               0.00    32.33    0.00   94.67     0.00   594.67     6.28     0.34    3.58   3.31  31.33
dm-0              0.00     0.00    0.00  365.67     0.00  2501.33     6.84     1.10    3.00   2.64  96.53
dm-1              0.00     0.00    0.00  365.67     0.00  2501.33     6.84     1.10    3.00   2.64  96.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    3.33     0.00    26.67     8.00     0.01    3.50   2.80   0.93
dm-5              0.00     0.00    0.00  308.67     0.00  2461.33     7.97     1.07    3.47   3.13  96.53
dm-6              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.02   10.00   9.40   1.57

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    33.00    0.00   81.33     0.00   618.67     7.61     0.24    3.00   2.84  23.13
sdb               0.00    29.00    0.00   96.33     0.00   682.67     7.09     0.29    3.03   2.87  27.60
sdc               0.00    30.00    0.00  113.00     0.00   808.00     7.15     0.42    3.73   3.64  41.13
sdd               0.00    32.00    0.00   99.00     0.00   696.00     7.03     0.33    3.27   3.30  32.70
dm-0              0.00     0.00    0.00  357.67     0.00  2805.33     7.84     1.04    2.90   2.72  97.30
dm-1              0.00     0.00    0.00  357.67     0.00  2805.33     7.84     1.04    2.90   2.72  97.30
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  308.33     0.00  2808.00     9.11     1.04    3.36   3.16  97.37
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    33.67    0.00  115.67     0.00   762.67     6.59     0.42    3.67   3.58  41.37
sdb               0.00    32.00    0.00   97.33     0.00   605.33     6.22     0.29    2.96   2.89  28.17
sdc               0.00    33.67    0.00   84.67     0.00   514.67     6.08     0.23    2.75   2.63  22.30
sdd               0.00    33.33    0.00  101.67     0.00   648.00     6.37     0.34    3.34   3.26  33.10
dm-0              0.00     0.00    0.00  370.33     0.00  2530.67     6.83     1.05    2.85   2.63  97.40
dm-1              0.00     0.00    0.00  370.33     0.00  2530.67     6.83     1.05    2.85   2.63  97.40
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    3.60   3.40   0.57
dm-5              0.00     0.00    0.00  314.00     0.00  2504.00     7.97     1.04    3.32   3.10  97.43
dm-6              0.00     0.00    0.00    1.67     0.00    13.33     8.00     0.01    3.60   3.60   0.60

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    28.33    0.00   80.00     0.00   458.67     5.73     0.23    2.87   2.83  22.63
sdb               0.00    31.67    0.00   96.33     0.00   613.33     6.37     0.28    2.91   2.87  27.63
sdc               0.00    32.33    0.00  109.67     0.00   728.00     6.64     0.46    4.18   4.09  44.80
sdd               0.00    33.33    0.00   91.67     0.00   592.00     6.46     0.29    3.11   3.12  28.63
dm-0              0.00     0.00    0.00  350.00     0.00  2392.00     6.83     1.07    3.04   2.77  96.90
dm-1              0.00     0.00    0.00  350.00     0.00  2392.00     6.83     1.07    3.04   2.77  96.93
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  299.33     0.00  2384.00     7.96     1.07    3.55   3.24  96.93
dm-6              0.00     0.00    0.00    1.00     0.00     8.00     8.00     0.00    3.00   1.00   0.10

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    31.00    0.00  115.00     0.00   872.00     7.58     0.46    4.00   3.96  45.57
sdb               0.00    31.00    0.00   88.00     0.00   640.00     7.27     0.28    3.17   2.87  25.23
sdc               0.00    32.33    0.00   79.67     0.00   557.33     7.00     0.21    2.62   2.54  20.23
sdd               0.00    31.33    0.00  103.00     0.00   757.33     7.35     0.39    3.81   3.41  35.13
dm-0              0.00     0.00    0.00  357.67     0.00  2826.67     7.90     1.16    3.25   2.73  97.53
dm-1              0.00     0.00    0.00  357.67     0.00  2826.67     7.90     1.16    3.25   2.73  97.53
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-4              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00  305.67     0.00  2805.33     9.18     1.12    3.66   3.19  97.60
dm-6              0.00     0.00    0.00    2.67     0.00    21.33     8.00     0.05   17.00   7.00   1.87

Device:         rrqm/s   wrqm/s     r/s     w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00    35.00    0.00   84.67     0.00   541.33     6.39     0.23    2.76   2.60  22.00
sdb               0.00    36.00    0.00  113.00     0.00   778.67     6.89     0.40    3.57   3.44  38.87
sdc               0.00    31.67    0.00  114.67     0.00   757.33     6.60     0.41    3.55   3.47  39.83
